StandardAnalyte,StationName,SampleDate,SampleType,SourceType,AnalysisGroup,SampleMedia,StandardResult,StandardUnit,FinalQualifier,StandardDetLimit
"Aluminum, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,40,ug/L,2,30
"Aluminum, total",FE-4023,5/13/15,Primary,S,Metals,SW,130,ug/L,2,30
"Arsenic, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Arsenic, total",FE-4023,5/13/15,Primary,S,Metals,SW,1,ug/L,U,1
"Barium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,19.9,ug/L,2,0.5
"Barium, total",FE-4023,5/13/15,Primary,S,Metals,SW,22,ug/L,2,3
"Cadmium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.8,ug/L,2,0.1
"Cadmium, total",FE-4023,5/13/15,Primary,S,Metals,SW,0.9,ug/L,2,0.5
"Calcium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,33700,ug/L,2,100
"Calcium, total",FE-4023,5/13/15,Primary,S,Metals,SW,34300,ug/L,2,100
Cation-Anion Balance,FE-4023,5/13/15,Primary,S,General Chemistry,SW,-2.4,%,2,-9999
"Chromium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Chromium, total",FE-4023,5/13/15,Primary,S,Metals,SW,3,ug/L,U,3
"Cobalt, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.4,ug/L,2,0.05
"Cobalt, total",FE-4023,5/13/15,Primary,S,Metals,SW,0.4,ug/L,2,0.3
"Copper, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,6.1,ug/L,2,0.5
"Copper, total",FE-4023,5/13/15,Primary,S,Metals,SW,10,ug/L,2,3
"Hardness as CaCO3, T",FE-4023,5/13/15,Primary,S,General Chemistry,SW,93000,ug/L,2,800
"Iron, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,20,ug/L,U,20
"Iron, total",FE-4023,5/13/15,Primary,S,Metals,SW,100,ug/L,J,20
"Lead, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.3,ug/L,2,0.1
"Lead, total",FE-4023,5/13/15,Primary,S,Metals,SW,2.6,ug/L,2,0.5
"Lithium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,8,ug/L,U,8
"Lithium, total",FE-4023,5/13/15,Primary,S,Metals,SW,8,ug/L,U,8
"Magnesium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,2200,ug/L,2,200
"Magnesium, total",FE-4023,5/13/15,Primary,S,Metals,SW,2300,ug/L,2,200
"Manganese, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,244,ug/L,2,5
"Manganese, total",FE-4023,5/13/15,Primary,S,Metals,SW,252,ug/L,2,5
"Molybdenum, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.8,ug/L,2,0.5
"Molybdenum, total",FE-4023,5/13/15,Primary,S,Metals,SW,3,ug/L,U,3
"Nickel, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.6,ug/L,U,0.6
"Nickel, total",FE-4023,5/13/15,Primary,S,Metals,SW,3,ug/L,U,3
"Potassium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,600,ug/L,2,200
"Potassium, total",FE-4023,5/13/15,Primary,S,Metals,SW,600,ug/L,2,200
"TDS, measured",FE-4023,5/13/15,Primary,S,Physical,SW,138000,ug/L,2,10000
TSS,FE-4023,5/13/15,Primary,S,Physical,SW,5000,ug/L,U,5000
"Silica, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,5800,ug/L,2,200
"Silica, total",FE-4023,5/13/15,Primary,S,Metals,SW,6200,ug/L,J-,200
"Silver, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.3,ug/L,U,0.3
"Silver, total",FE-4023,5/13/15,Primary,S,Metals,SW,0.3,ug/L,U,0.3
"Sodium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,1500,ug/L,2,200
"Sodium, total",FE-4023,5/13/15,Primary,S,Metals,SW,1600,ug/L,2,200
"Strontium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,304,ug/L,2,5
"Strontium, total",FE-4023,5/13/15,Primary,S,Metals,SW,316,ug/L,2,5
Sum of Anions,FE-4023,5/13/15,Primary,S,General Chemistry,SW,2.1,meq/L,2,-9999
Sum of Cations,FE-4023,5/13/15,Primary,S,General Chemistry,SW,2,meq/L,2,-9999
"Alkalinity, Total",FE-4023,5/13/15,Primary,S,General Chemistry,SW,32400,ug/L,2,2000
"Vanadium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Vanadium, total",FE-4023,5/13/15,Primary,S,Metals,SW,1,ug/L,U,1
"Zinc, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,280,ug/L,2,10
"Zinc, total",FE-4023,5/13/15,Primary,S,Metals,SW,290,ug/L,2,10
Specific Conductance,FE-4023,5/13/15,Field Measurement,S,Physical,SW,189,uS/cm,1,-9999
ORP,FE-4023,5/13/15,Field Measurement,S,Physical,SW,123.8,mV,1,-9999
"Oxygen, Dissolved",FE-4023,5/13/15,Field Measurement,S,Physical,SW,10250,ug/L,1,-9999
pH,FE-4023,5/13/15,Field Measurement,S,Physical,SW,7.83,SU,1,-9999
Temperature,FE-4023,5/13/15,Field Measurement,S,Physical,SW,4.82,C,1,-9999
Turbidity,FE-4023,5/13/15,Field Measurement,S,Physical,SW,1.7,NTU,1,-9999
"Aluminum, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,60,ug/L,2,30
"Aluminum, total",FE-4023,6/9/15,Primary,S,Metals,SW,370,ug/L,2,30
"Antimony, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,2,ug/L,U,2
"Antimony, total",FE-4023,6/9/15,Primary,S,Metals,SW,0.8,ug/L,U,0.8
"Arsenic, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,1,ug/L,U,1
"Arsenic, total",FE-4023,6/9/15,Primary,S,Metals,SW,0.6,ug/L,U,0.4
"Barium, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,16,ug/L,2,3
"Barium, total",FE-4023,6/9/15,Primary,S,Metals,SW,21,ug/L,J+,1
"Beryllium, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,10,ug/L,U,10
"Beryllium, total",FE-4023,6/9/15,Primary,S,Metals,SW,10,ug/L,U,10
"Cadmium, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,0.8,ug/L,2,0.5
"Cadmium, total",FE-4023,6/9/15,Primary,S,Metals,SW,1.1,ug/L,J+,0.2
"Calcium, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,20300,ug/L,2,100
"Calcium, total",FE-4023,6/9/15,Primary,S,Metals,SW,20800,ug/L,2,100
DOC,FE-4023,6/9/15,Primary,S,General Chemistry,SW,1000,ug/L,U,1000
Cation-Anion Balance,FE-4023,6/9/15,Primary,S,General Chemistry,SW,4,%,2,-9999
"Chromium, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,3,ug/L,U,3
"Chromium, total",FE-4023,6/9/15,Primary,S,Metals,SW,1,ug/L,U,1
"Cobalt, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,0.3,ug/L,U,0.3
"Cobalt, total",FE-4023,6/9/15,Primary,S,Metals,SW,0.3,ug/L,2,0.1
"Copper, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,5,ug/L,2,3
"Copper, total",FE-4023,6/9/15,Primary,S,Metals,SW,11,ug/L,J+,1
"Hardness as CaCO3, T",FE-4023,6/9/15,Primary,S,General Chemistry,SW,58000,ug/L,2,800
"Iron, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,20,ug/L,U,20
"Iron, total",FE-4023,6/9/15,Primary,S,Metals,SW,280,ug/L,2,20
"Lead, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,0.8,ug/L,2,0.5
"Lead, total",FE-4023,6/9/15,Primary,S,Metals,SW,11.1,ug/L,J+,0.2
"Lithium, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,8,ug/L,U,8
"Lithium, total",FE-4023,6/9/15,Primary,S,Metals,SW,8,ug/L,U,8
"Magnesium, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,1700,ug/L,J+,200
"Magnesium, total",FE-4023,6/9/15,Primary,S,Metals,SW,1700,ug/L,J+,200
"Manganese, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,237,ug/L,2,5
"Manganese, total",FE-4023,6/9/15,Primary,S,Metals,SW,304,ug/L,2,5
"Molybdenum, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,3,ug/L,U,3
"Molybdenum, total",FE-4023,6/9/15,Primary,S,Metals,SW,1,ug/L,U,1
"Nickel, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,3,ug/L,U,3
"Nickel, total",FE-4023,6/9/15,Primary,S,Metals,SW,1,ug/L,U,1
"Potassium, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,600,ug/L,2,200
"Potassium, total",FE-4023,6/9/15,Primary,S,Metals,SW,600,ug/L,2,200
"TDS, measured",FE-4023,6/9/15,Primary,S,Physical,SW,82000,ug/L,J+,10000
TSS,FE-4023,6/9/15,Primary,S,Physical,SW,5000,ug/L,2,5000
"Selenium, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Selenium, total",FE-4023,6/9/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Silica, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,4600,ug/L,2,200
"Silica, total",FE-4023,6/9/15,Primary,S,Metals,SW,5400,ug/L,J-,200
"Silver, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,0.3,ug/L,U,0.3
"Silver, total",FE-4023,6/9/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Sodium, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,900,ug/L,2,200
"Sodium, total",FE-4023,6/9/15,Primary,S,Metals,SW,1000,ug/L,2,200
"Strontium, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,181,ug/L,2,5
"Strontium, total",FE-4023,6/9/15,Primary,S,Metals,SW,179,ug/L,2,5
Sum of Anions,FE-4023,6/9/15,Primary,S,General Chemistry,SW,1.2,meq/L,2,-9999
Sum of Cations,FE-4023,6/9/15,Primary,S,General Chemistry,SW,1.3,meq/L,2,-9999
"Thallium, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Thallium, total",FE-4023,6/9/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
Total Alkalinity,FE-4023,6/9/15,Primary,S,General Chemistry,SW,23400,ug/L,J+,2000
"Vanadium, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,1,ug/L,U,1
"Vanadium, total",FE-4023,6/9/15,Primary,S,Metals,SW,0.4,ug/L,2,0.4
"Zinc, dissolved",FE-4023,6/9/15,Primary,S,Metals,SW,260,ug/L,2,10
"Zinc, total",FE-4023,6/9/15,Primary,S,Metals,SW,300,ug/L,2,10
Specific Conductance,FE-4023,6/9/15,Field Measurement,S,Physical,SW,121,uS/cm,1,-9999
ORP,FE-4023,6/9/15,Field Measurement,S,Physical,SW,287,mV,1,-9999
"Oxygen, Dissolved",FE-4023,6/9/15,Field Measurement,S,Physical,SW,9650,ug/L,1,-9999
pH,FE-4023,6/9/15,Field Measurement,S,Physical,SW,6.9,SU,1,-9999
Temperature,FE-4023,6/9/15,Field Measurement,S,Physical,SW,5.46,C,1,-9999
Turbidity,FE-4023,6/9/15,Field Measurement,S,Physical,SW,5.15,NTU,1,-9999
"Aluminum, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,60,ug/L,2,30
"Aluminum, total",FE-4023,9/15/15,Primary,S,Metals,SW,60,ug/L,2,30
"Antimony, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Antimony, total",FE-4023,9/15/15,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Arsenic, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Arsenic, total",FE-4023,9/15/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Barium, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,23.7,ug/L,2,0.5
"Barium, total",FE-4023,9/15/15,Primary,S,Metals,SW,24.8,ug/L,2,0.5
"Beryllium, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,10,ug/L,U,10
"Beryllium, total",FE-4023,9/15/15,Primary,S,Metals,SW,10,ug/L,U,10
"Cadmium, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,0.7,ug/L,2,0.1
"Cadmium, total",FE-4023,9/15/15,Primary,S,Metals,SW,0.8,ug/L,2,0.1
"Calcium, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,51800,ug/L,2,100
"Calcium, total",FE-4023,9/15/15,Primary,S,Metals,SW,52900,ug/L,2,100
DOC,FE-4023,9/15/15,Primary,S,General Chemistry,SW,1000,ug/L,U,1000
Cation-Anion Balance,FE-4023,9/15/15,Primary,S,General Chemistry,SW,1.7,%,2,-9999
"Chromium, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,10,ug/L,U,10
"Chromium, total",FE-4023,9/15/15,Primary,S,Metals,SW,10,ug/L,U,10
"Cobalt, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,0.34,ug/L,J+,0.05
"Cobalt, total",FE-4023,9/15/15,Primary,S,Metals,SW,0.42,ug/L,2,0.05
"Copper, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,2.6,ug/L,2,0.5
"Copper, total",FE-4023,9/15/15,Primary,S,Metals,SW,3.2,ug/L,2,0.5
"Hardness as CaCO3, D",FE-4023,9/15/15,Primary,S,General Chemistry,SW,143000,ug/L,2,800
"Iron, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,20,ug/L,U,20
"Iron, total",FE-4023,9/15/15,Primary,S,Metals,SW,30,ug/L,2,20
"Lead, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,0.4,ug/L,2,0.1
"Lead, total",FE-4023,9/15/15,Primary,S,Metals,SW,1,ug/L,2,0.1
"Lithium, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,8,ug/L,U,8
"Lithium, total",FE-4023,9/15/15,Primary,S,Metals,SW,10,ug/L,2,8
"Magnesium, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,3300,ug/L,2,200
"Magnesium, total",FE-4023,9/15/15,Primary,S,Metals,SW,3200,ug/L,2,200
"Manganese, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,338,ug/L,2,5
"Manganese, total",FE-4023,9/15/15,Primary,S,Metals,SW,331,ug/L,2,5
"Molybdenum, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,1.2,ug/L,2,0.5
"Molybdenum, total",FE-4023,9/15/15,Primary,S,Metals,SW,1.3,ug/L,2,0.5
"Nickel, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,0.6,ug/L,U,0.6
"Nickel, total",FE-4023,9/15/15,Primary,S,Metals,SW,0.6,ug/L,U,0.6
"Potassium, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,800,ug/L,U,200
"Potassium, total",FE-4023,9/15/15,Primary,S,Metals,SW,700,ug/L,2,200
"TDS, measured",FE-4023,9/15/15,Primary,S,Physical,SW,196000,ug/L,2,10000
TSS,FE-4023,9/15/15,Primary,S,Physical,SW,5000,ug/L,U,5000
"Selenium, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,0.2,ug/L,2,0.1
"Selenium, total",FE-4023,9/15/15,Primary,S,Metals,SW,0.3,ug/L,J+,0.1
"Silica, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,7500,ug/L,2,200
"Silica, total",FE-4023,9/15/15,Primary,S,Metals,SW,7700,ug/L,J-,200
"Silver, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Silver, total",FE-4023,9/15/15,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Sodium, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,2200,ug/L,2,200
"Sodium, total",FE-4023,9/15/15,Primary,S,Metals,SW,2100,ug/L,2,200
"Strontium, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,487,ug/L,2,5
"Strontium, total",FE-4023,9/15/15,Primary,S,Metals,SW,482,ug/L,2,5
Sum of Anions,FE-4023,9/15/15,Primary,S,General Chemistry,SW,2.9,meq/L,2,-9999
Sum of Cations,FE-4023,9/15/15,Primary,S,General Chemistry,SW,3,meq/L,2,-9999
"Thallium, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Thallium, total",FE-4023,9/15/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
Total Alkalinity,FE-4023,9/15/15,Primary,S,General Chemistry,SW,36200,ug/L,2,2000
"Vanadium, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Vanadium, total",FE-4023,9/15/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Zinc, dissolved",FE-4023,9/15/15,Primary,S,Metals,SW,250,ug/L,2,10
"Zinc, total",FE-4023,9/15/15,Primary,S,Metals,SW,230,ug/L,2,10
ORP,FE-4023,9/15/15,Field Measurement,S,Physical,SW,180.6,mV,1,-9999
"Oxygen, Dissolved",FE-4023,9/15/15,Field Measurement,S,Physical,SW,10730,ug/L,1,-9999
pH,FE-4023,9/15/15,Field Measurement,S,Physical,SW,7.35,SU,1,-9999
Specific Conductance,FE-4023,9/15/15,Field Measurement,S,Physical,SW,275,uS/cm,1,-9999
Temperature,FE-4023,9/15/15,Field Measurement,S,Physical,SW,11.03,C,1,-9999
Turbidity,FE-4023,9/15/15,Field Measurement,S,Physical,SW,0.58,NTU,1,-9999
ORP,FE-4023,9/1/15,Field Measurement,S,Physical,SW,237.7,mV,1,-9999
"Oxygen, Dissolved",FE-4023,9/1/15,Field Measurement,S,Physical,SW,8420,ug/L,1,-9999
pH,FE-4023,9/1/15,Field Measurement,S,Physical,SW,8.22,SU,1,-9999
Specific Conductance,FE-4023,9/1/15,Field Measurement,S,Physical,SW,277,uS/cm,1,-9999
Temperature,FE-4023,9/1/15,Field Measurement,S,Physical,SW,13.12,C,1,-9999
Turbidity,FE-4023,9/1/15,Field Measurement,S,Physical,SW,1.33,NTU,1,-9999
"Aluminum, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,120,ug/L,2,30
"Aluminum, total",FE-4023,6/7/16,Primary,S,Metals,SW,500,ug/L,J,30
"Antimony, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Antimony, total",FE-4023,6/7/16,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Arsenic, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Arsenic, total",FE-4023,6/7/16,Primary,S,Metals,SW,0.6,ug/L,2,0.2
"Barium, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,15.9,ug/L,2,0.5
"Barium, total",FE-4023,6/7/16,Primary,S,Metals,SW,18.1,ug/L,2,0.5
"Beryllium, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,10,ug/L,U,10
"Beryllium, total",FE-4023,6/7/16,Primary,S,Metals,SW,10,ug/L,U,10
"Cadmium, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,0.9,ug/L,2,0.1
"Cadmium, total",FE-4023,6/7/16,Primary,S,Metals,SW,1,ug/L,2,0.1
"Calcium, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,19300,ug/L,2,100
"Calcium, total",FE-4023,6/7/16,Primary,S,Metals,SW,19300,ug/L,2,100
Cation-Anion Balance,FE-4023,6/7/16,Primary,S,General Chemistry,SW,-4,%,2,-9999
"Chromium, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Chromium, total",FE-4023,6/7/16,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Cobalt, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,0.24,ug/L,2,0.05
"Cobalt, total",FE-4023,6/7/16,Primary,S,Metals,SW,0.29,ug/L,2,0.05
"Copper, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,6.1,ug/L,2,0.5
"Copper, total",FE-4023,6/7/16,Primary,S,Metals,SW,9.9,ug/L,2,0.5
"Hardness as CaCO3, T",FE-4023,6/7/16,Primary,S,General Chemistry,SW,55000,ug/L,2,200
"Iron, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,70,ug/L,2,20
"Iron, total",FE-4023,6/7/16,Primary,S,Metals,SW,480,ug/L,2,20
"Lead, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,5.6,ug/L,2,0.1
"Lead, total",FE-4023,6/7/16,Primary,S,Metals,SW,16,ug/L,2,0.1
"Lithium, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,8,ug/L,U,8
"Lithium, total",FE-4023,6/7/16,Primary,S,Metals,SW,8,ug/L,U,8
"Magnesium, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,1500,ug/L,2,200
"Magnesium, total",FE-4023,6/7/16,Primary,S,Metals,SW,1600,ug/L,2,200
"Manganese, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,275,ug/L,2,5
"Manganese, total",FE-4023,6/7/16,Primary,S,Metals,SW,359,ug/L,2,5
"Mercury, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Mercury, total",FE-4023,6/7/16,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Molybdenum, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Molybdenum, total",FE-4023,6/7/16,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Nickel, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,0.6,ug/L,2,0.6
"Nickel, total",FE-4023,6/7/16,Primary,S,Metals,SW,0.6,ug/L,U,0.6
"Potassium, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,500,ug/L,2,200
"Potassium, total",FE-4023,6/7/16,Primary,S,Metals,SW,600,ug/L,2,200
"TDS, measured",FE-4023,6/7/16,Primary,S,Physical,SW,82000,ug/L,2,10000
TSS,FE-4023,6/7/16,Primary,S,Physical,SW,10000,ug/L,2,5000
"Selenium, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Selenium, total",FE-4023,6/7/16,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Silica, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,4600,ug/L,2,200
"Silica, total",FE-4023,6/7/16,Primary,S,Metals,SW,5300,ug/L,J-,200
"Silver, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Silver, total",FE-4023,6/7/16,Primary,S,Metals,SW,0.13,ug/L,2,0.05
"Sodium, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,900,ug/L,2,200
"Sodium, total",FE-4023,6/7/16,Primary,S,Metals,SW,900,ug/L,2,200
"Strontium, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,164,ug/L,2,5
"Strontium, total",FE-4023,6/7/16,Primary,S,Metals,SW,164,ug/L,2,5
Sum of Anions,FE-4023,6/7/16,Primary,S,General Chemistry,SW,1.3,meq/L,2,-9999
Sum of Cations,FE-4023,6/7/16,Primary,S,General Chemistry,SW,1.2,meq/L,2,-9999
"TDS, calculated",FE-4023,6/7/16,Primary,S,Physical,SW,82200,ug/L,2,-9999
"TDS, ratio",FE-4023,6/7/16,Primary,S,Physical,SW,1000,ug/L,2,-9999
"Thallium, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Thallium, total",FE-4023,6/7/16,Primary,S,Metals,SW,0.1,ug/L,U,0.1
Total Alkalinity,FE-4023,6/7/16,Primary,S,General Chemistry,SW,21900,ug/L,2,2000
"Vanadium, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Vanadium, total",FE-4023,6/7/16,Primary,S,Metals,SW,0.2,ug/L,2,0.2
"Zinc, dissolved",FE-4023,6/7/16,Primary,S,Metals,SW,280,ug/L,2,10
"Zinc, total",FE-4023,6/7/16,Primary,S,Metals,SW,310,ug/L,2,10
"Oxygen, Dissolved",FE-4023,6/7/16,Field Measurement,S,Physical,SW,9690,ug/L,1,-9999
pH,FE-4023,6/7/16,Field Measurement,S,Physical,SW,7.22,SU,1,-9999
Specific Conductance,FE-4023,6/7/16,Field Measurement,S,Physical,SW,530,uS/cm,1,-9999
Temperature,FE-4023,6/7/16,Field Measurement,S,Physical,SW,3.73,C,1,-9999
"Aluminum, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,60,ug/L,2,30
"Aluminum, total",FE-4023,9/27/16,Primary,S,Metals,SW,120,ug/L,2,30
"Antimony, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Antimony, total",FE-4023,9/27/16,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Arsenic, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Arsenic, total",FE-4023,9/27/16,Primary,S,Metals,SW,0.2,ug/L,2,0.2
"Barium, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,27.7,ug/L,2,0.5
"Barium, total",FE-4023,9/27/16,Primary,S,Metals,SW,28.5,ug/L,2,0.5
"Beryllium, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,10,ug/L,U,10
"Beryllium, total",FE-4023,9/27/16,Primary,S,Metals,SW,10,ug/L,U,10
"Cadmium, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,0.6,ug/L,2,0.1
"Cadmium, total",FE-4023,9/27/16,Primary,S,Metals,SW,0.7,ug/L,2,0.1
"Calcium, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,44300,ug/L,2,100
"Calcium, total",FE-4023,9/27/16,Primary,S,Metals,SW,45600,ug/L,2,100
Cation-Anion Balance,FE-4023,9/27/16,Primary,S,General Chemistry,SW,0,%,2,-9999
"Chromium, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Chromium, total",FE-4023,9/27/16,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Cobalt, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,0.24,ug/L,U,0.05
"Cobalt, total",FE-4023,9/27/16,Primary,S,Metals,SW,0.33,ug/L,2,0.05
"Copper, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,2.1,ug/L,J+,0.5
"Copper, total",FE-4023,9/27/16,Primary,S,Metals,SW,2.9,ug/L,2,0.5
"Hardness as CaCO3, T",FE-4023,9/27/16,Primary,S,General Chemistry,SW,126000,ug/L,2,200
"Iron, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,20,ug/L,2,20
"Iron, total",FE-4023,9/27/16,Primary,S,Metals,SW,70,ug/L,2,20
"Lead, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,0.2,ug/L,2,0.1
"Lead, total",FE-4023,9/27/16,Primary,S,Metals,SW,1.3,ug/L,2,0.1
"Lithium, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,8,ug/L,U,8
"Lithium, total",FE-4023,9/27/16,Primary,S,Metals,SW,8,ug/L,U,8
"Magnesium, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,3000,ug/L,2,200
